Androscoggin	93	461
Aroostook	245	96
Cumberland	66	499
Franklin	69	347
Hancock	280	399
Kennebec	136	424
Knox	194	457
Lincoln	158	474
Oxford	37	420
Penobscot	253	294
Piscataquis	180	235
Sagadahoc	125	483
Somerset	116	285
Waldo	196	412
Washington	347	352
York	41	559
