Androscoggin	107604	5.0
Aroostook	70055	4.4
Cumberland	285456	3.5
Franklin	30495	6.0
Hancock	54845	7.8
Kennebec	121164	4.7
Knox	39550	4.8
Lincoln	34088	5.2
Oxford	57277	5.9
Penobscot	153364	5.3
Piscataquis	17124	8.1
Sagadahoc	35013	3.9
Somerset	51706	7.7
Waldo	38940	6.1
Washington	32190	7.6
York	199431	4.7
